2019-08-08 14:14:33,252 - INFO - <module> - Hello, I'm is INFO!
2019-08-08 14:14:33,255 - WARNING - <module> - It seems to be a bug...WARNING
2019-08-08 14:14:33,255 - CRITICAL - <module> - CRITICAL bug in app! Hello, World!
2019-08-08 14:14:33,518 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, '', 7777)  - __init__ - __main__
2019-08-08 14:14:33,720 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:33,921 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:34,122 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:34,323 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:34,524 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:34,725 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {}, [])  - write_responses - __main__
2019-08-08 14:14:34,831 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, {'action': 'presence', 'time': 'Thu Aug  8 14:14:34 2019', 'account_name': 'console1'}) result: ({'response': 'ok'}, 'console1')  - presence_response - __main__
2019-08-08 14:14:34,835 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {'console1': <socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64850)>}, [<socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64850)>])  - write_responses - __main__
2019-08-08 14:14:34,859 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, {'action': 'presence', 'time': 'Thu Aug  8 14:14:34 2019', 'account_name': 'console0'}) result: ({'response': 'ok'}, 'console0')  - presence_response - __main__
2019-08-08 14:14:34,860 - INFO - decorated - args: (<__main__.Server object at 0x000001C21BEA9390>, [], {'console1': <socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64850)>, 'console0': <socket.socket fd=532, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64851)>}, [<socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64850)>, <socket.socket fd=532, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64851)>])  - write_responses - __main__
