2019-08-22 11:47:03,003 - INFO - <module> - Hello, I'm is INFO!
2019-08-22 11:47:03,005 - WARNING - <module> - It seems to be a bug...WARNING
2019-08-22 11:47:03,005 - CRITICAL - <module> - CRITICAL bug in app! Hello, World!
2019-08-22 11:47:03,925 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, '', 7777)  - __init__ - __main__
2019-08-22 11:47:04,125 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:04,326 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:04,526 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:04,727 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:04,928 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:05,129 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:05,329 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:05,530 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:05,730 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:05,932 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:06,154 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:06,362 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:06,566 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:06,766 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:06,967 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:07,167 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:07,367 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:07,567 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:07,768 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:07,969 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:08,169 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:08,370 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:08,570 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:08,771 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:08,971 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:09,172 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:09,373 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:09,573 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:09,774 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:09,975 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:10,176 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:10,376 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:10,577 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:10,778 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:10,979 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:11,180 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:11,381 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [], [])  - write_responses - __main__
2019-08-22 11:47:11,507 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:11,707 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:11,907 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:12,107 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:12,309 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:12,509 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:12,709 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:12,909 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:13,109 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:13,310 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:13,511 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:13,712 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:13,913 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:14,114 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
2019-08-22 11:47:14,315 - INFO - decorated - args: (<__main__.Server object at 0x000002797B4F8198>, [], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>], [<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57726)>])  - write_responses - __main__
